大类,指令,说明,,,,,,
Windows Server 操作/Active Directory,Add-ADGroupMember -Group Administrators -Members jdoe,添加成员,,,,,,
Windows Server 操作/Active Directory,Remove-ADGroupMember -Group Administrators -Members jdoe,移除成员,,,,,,
Windows Server 操作/Active Directory,Get-ADComputer -Filter *,所有计算机,,,,,,
Windows Server 操作/Active Directory,New-ADComputer -Name PC01,创建计算机对象,,,,,,
Windows Server 操作/Active Directory,Get-ADOrganizationalUnit -Filter *,所有 OU,,,,,,
Windows Server 操作/Active Directory,New-ADOrganizationalUnit -Name Users -Path DC=company,DC=com"",创建 OU,,,,,
Windows Server 操作/DNS 服务器,Get-DnsServerZone,所有 DNS 区域,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerPrimaryZone -Name company.com -ZoneFile company.com.dns,添加主区域,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerSecondaryZone -Name company.com -MasterServers 192.168.1.1,辅助区域,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerPrimaryZone -NetworkId 192.168.1.0/24,反向区域,,,,,,
Windows Server 操作/DNS 服务器,Get-DnsServerResourceRecord -ZoneName company.com,获取记录,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerResourceRecordA -Name www -ZoneName company.com -IPv4Address 192.168.1.10,A 记录,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerResourceRecordCName -Name mail -HostNameAlias mail.company.com -ZoneName company.com,CNAME,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerResourceRecordMX -Preference 10 -MailExchange mail.company.com -ZoneName company.com,MX,,,,,,
Windows Server 操作/DNS 服务器,Add-DnsServerResourceRecordTxt -Name @ -Txt v=spf1 mx -all" -ZoneName company.com",SPF 记录,,,,,,
Windows Server 操作/DNS 服务器,Remove-DnsServerResourceRecord -ZoneName company.com -RRType A -Name www,删除记录,,,,,,
Windows Server 操作/DNS 服务器,Clear-DnsServerCache,清除服务器缓存,,,,,,
Windows Server 操作/DNS 服务器,Invoke-DnsServerZoneSign -ZoneName company.com,刷新区域,,,,,,
Windows Server 操作/DNS 服务器,Suspend-DnsServerZone -ZoneName company.com,暂停区域,,,,,,
Windows Server 操作/DNS 服务器,Resume-DnsServerZone -ZoneName company.com,恢复区域,,,,,,
Windows Server 操作/DNS 服务器,Export-DnsServerZone -Name company.com -FileName zone.xml,导出区域,,,,,,
Windows Server 操作/DHCP 服务器,Get-DhcpServerv4Scope,IPv4 作用域,,,,,,
Windows Server 操作/DHCP 服务器,Add-DhcpServerv4Scope -Name LAN -StartRange 192.168.1.100 -EndRange 192.168.1.200 -SubnetMask 255.255.255.0,添加范围,,,,,,
Windows Server 操作/DHCP 服务器,Set-DhcpServerv4OptionValue -Router 192.168.1.1 -DnsServer 8.8.8.8,设置选项,,,,,,
Windows Server 操作/DHCP 服务器,Get-DhcpServerv4Lease,所有租约,,,,,,
Windows Server 操作/DHCP 服务器,Add-DhcpServerv4Reservation -IPAddress 192.168.1.50 -ClientId MAC 地址"",IP 保留,,,,,,
Windows Server 操作/DHCP 服务器,Remove-DhcpServerv4Reservation -IPAddress 192.168.1.50,删除保留,,,,,,
Windows Server 操作/DHCP 服务器,Set-DhcpServerv4Scope -State Active,激活范围,,,,,,
Windows Server 操作/DHCP 服务器,Set-DhcpServerv4Scope -State Inactive,停用范围,,,,,,
Windows Server 操作/DHCP 服务器,Add-DhcpServerInDC -DnsName dhcp.company.com,授权服务器,,,,,,
Windows Server 操作/DHCP 服务器,Remove-DhcpServerInDC -DnsName dhcp.company.com,取消授权,,,,,,
Windows Server 操作/DHCP 服务器,Backup-DhcpServer -Path C:\DHCPBackup,备份配置,,,,,,
Windows Server 操作/DHCP 服务器,Restore-DhcpServer -Path C:\DHCPBackup,还原配置,,,,,,
Windows Server 操作/DHCP 服务器,Get-DhcpServerv4ScopeStatistics,范围统计,,,,,,
Windows Server 操作/DHCP 服务器,Get-DhcpServerAuditLog,审核日志,,,,,,
Windows Server 操作/DHCP 服务器,Add-DhcpServerv4Failover -PartnerServer dhcp2.company.com,故障转移,,,,,,
Windows Server 操作/文件和存储,New-SmbShare -Name Data -Path C:\Data -FullAccess Everyone,创建共享,,,,,,
Windows Server 操作/文件和存储,Get-SmbShare,所有共享,,,,,,
Windows Server 操作/文件和存储,Set-SmbShare -Name Data -ChangeAccess Users,修改权限,,,,,,
Windows Server 操作/文件和存储,Remove-SmbShare -Name Data,删除共享,,,,,,
Windows Server 操作/文件和存储,Get-SmbSession,当前会话,,,,,,
Windows Server 操作/文件和存储,Close-SmbSession -ClientId 12345,关闭会话,,,,,,
Windows Server 操作/文件和存储,Get-SmbOpenFile,打开的文件,,,,,,
Windows Server 操作/文件和存储,Close-SmbOpenFile -FileId 67890,关闭文件,,,,,,
Windows Server 操作/文件和存储,New-DfsnRoot -TargetPath \\server\data -Path \\domain.com\data,DFS 根,,,,,,
Windows Server 操作/文件和存储,New-DfsnFolder -Path \\domain.com\data\docs -TargetPath \\server\docs,DFS 文件夹,,,,,,
Windows Server 操作/文件和存储,New-FsrmQuota -Path C:\Data -Size 10GB,创建配额,,,,,,
Windows Server 操作/文件和存储,New-FsrmFileScreen -Path C:\Data -Template Block executable files"",文件屏蔽,,,,,,
Windows Server 操作/文件和存储,Get-FsrmClassificationReport,分类报告,,,,,,
Windows Server 操作/文件和存储,Get-Disk | New-Partition -UseMaximumSize -DriveLetter D,创建分区,,,,,,
Windows Server 操作/文件和存储,Format-Volume -DriveLetter D -FileSystem NTFS -Label Data,格式化,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Install-WindowsFeature Hyper-V -IncludeManagementTools,安装 Hyper-V,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Get-VM,VM 列表,,,,,,
Windows Server 操作/Hyper-V 虚拟化,New-VM -Name WebServer -MemoryStartupBytes 4GB -NewVHDPath C:\VMs\web.vhdx -NewVHDSizeBytes 60GB,创建 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Start-VM -Name WebServer,启动 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Stop-VM -Name WebServer,停止 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Restart-VM -Name WebServer,重启 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Suspend-VM -Name WebServer,暂停 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Resume-VM -Name WebServer,恢复 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Remove-VM -Name OldVM,删除 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Checkpoint-VM -Name WebServer -SnapshotName BeforeUpdate,创建快照,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Restore-VMSnapshot -VMName WebServer -Name BeforeUpdate,还原快照,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Export-VM -Name WebServer -Path E:\Backup,导出 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Import-VM -Path E:\Backup\WebServer\VirtualMachines\guid.xml,导入 VM,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Add-VMHardDiskDrive -VMName WebServer -Path D:\data.vhdx,添加硬盘,,,,,,
Windows Server 操作/Hyper-V 虚拟化,Resize-VHD -Path D:\data.vhdx -SizeBytes 100GB,调整大小,,,,,,
Windows Server 操作/远程桌面服务,Install-WindowsFeature RDS-RD-Server,安装 RDS,,,,,,
Windows Server 操作/远程桌面服务,Set-RDLicenseConfiguration -Mode PerUser,每用户授权,,,,,,
Windows Server 操作/远程桌面服务,Get-RDSessionHost,会话主机,,,,,,
Windows Server 操作/远程桌面服务,Add-RDSessionHost -ConnectionBroker broker.company.com -SessionHost rdsh1.company.com,添加主机,,,,,,
Windows Server 操作/远程桌面服务,New-RDSessionCollection -CollectionName Desktops -SessionHost rdsh1.company.com,创建集合,,,,,,
Windows Server 操作/远程桌面服务,New-RDRemoteApp -Alias Notepad -FilePath C:\Windows\notepad.exe -CollectionName Desktops,发布应用,,,,,,
Windows Server 操作/远程桌面服务,Get-RDUserSession,用户会话,,,,,,
Windows Server 操作/远程桌面服务,Invoke-RDUserLogoff -HostServer rdsh1.company.com -UnifiedSessionID 1,注销会话,,,,,,
Windows Server 操作/远程桌面服务,Send-RDUserMessage -HostServer rdsh1.company.com -UnifiedSessionID 1 -MessageTitle 通知" -MessageBody "系统将重启"",发送消息,,,,,,
Windows Server 操作/远程桌面服务,Disconnect-RDSession -HostServer rdsh1.company.com -UnifiedSessionID 1,断开会话,,,,,,
Windows Server 操作/打印服务器,Install-WindowsFeature Print-Server,安装打印服务,,,,,,
Windows Server 操作/打印服务器,Add-PrinterPort -Name IP_192.168.1.100 -PrinterHostAddress 192.168.1.100,添加端口,,,,,,
Windows Server 操作/打印服务器,Add-Printer -Name HP-LaserJet -DriverName HP LaserJet" -PortName IP_192.168.1.100",添加打印机,,,,,,
Windows Server 操作/打印服务器,Set-Printer -Name HP-LaserJet -Shared $true -ShareName HPLJ,共享打印机,,,,,,
Windows Server 操作/打印服务器,Get-Printer,所有打印机,,,,,,
Windows Server 操作/打印服务器,Get-PrintJob -PrinterName HP-LaserJet,打印队列,,,,,,
Windows Server 操作/打印服务器,Remove-PrintJob -PrinterName HP-LaserJet -ID 1,删除作业,,,,,,
Windows Server 操作/打印服务器,Suspend-Printer -Name HP-LaserJet,暂停打印机,,,,,,
Windows Server 操作/打印服务器,Resume-Printer -Name HP-LaserJet,恢复打印机,,,,,,
Windows Server 操作/打印服务器,Add-PrinterDriver -Name HP LaserJet Driver"",添加驱动,,,,,,
网络/中兴交换机/基础配置,ZXR10> enable,进入特权模式,,,,,,
网络/中兴交换机/基础配置,ZXR10,# 特权模式提示符,,,,,,
网络/中兴交换机/基础配置,ZXR10,configure terminal  # 进入配置模式,,,,,,
网络/中兴交换机/基础配置,ZXR10(config),# 配置模式提示符,,,,,,
网络/中兴交换机/基础配置,ZXR10(config),hostname SW1  # 设置设备名,,,,,,
网络/中兴交换机/基础配置,SW1(config),# 新提示符,,,,,,
网络/中兴交换机/基础配置,SW1,show version  # 版本信息,,,,,,
网络/中兴交换机/基础配置,SW1,show system-info  # 系统信息,,,,,,
网络/中兴交换机/基础配置,SW1,write  # 保存配置,,,,,,
网络/中兴交换机/基础配置,SW1,copy running-config startup-config  # 保存到启动配置,,,,,,
网络/中兴交换机/基础配置,SW1,reload  # 重启设备,,,,,,
网络/中兴交换机/基础配置,SW1,reset config  # 清除配置,,,,,,
网络/中兴交换机/基础配置,SW1,clock set 10:30:00 15 january 2026  # 设置时间,,,,,,
网络/中兴交换机/基础配置,SW1(config),clock timezone Beijing 8  # 设置时区,,,,,,
网络/中兴交换机/基础配置,SW1(config),interface gei_1/1  # 千兆以太网接口,,,,,,
网络/中兴交换机/基础配置,SW1(config-if),# 接口视图,,,,,,
网络/中兴交换机/基础配置,SW1(config),interface xgei_1/1  # 万兆以太网接口,,,,,,
网络/中兴交换机/基础配置,SW1(config),interface range gei_1/1 \10  # 批量进入接口 1-10,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config),vlan 10  # 创建 VLAN 10,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-vlan),name Sales  # 命名 VLAN,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config),vlan database  # VLAN 数据库模式,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-vlan),"vlan 10,20,30  # 创建多个 VLAN",,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-vlan),vlan 10-20  # VLAN 范围,,,,,,
网络/中兴交换机/VLAN 配置,SW1,show vlan  # 所有 VLAN,,,,,,
网络/中兴交换机/VLAN 配置,SW1,show vlan id 10  # VLAN 10 详情,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),switchport mode access  # Access 模式,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),switchport access vlan 10  # 加入 VLAN 10,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),switchport mode trunk  # Trunk 模式,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),switchport trunk native vlan 1  # Native VLAN,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),"switchport trunk allowed vlan add 10,20,30  # 允许 VLAN",,,,,,
网络/中兴交换机/VLAN 配置,SW1(config),interface vlan 10  # VLAN 接口,,,,,,
网络/中兴交换机/VLAN 配置,SW1(config-if),ip address 192.168.10.1 255.255.255.0  # IP 地址,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree  # 启用生成树,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode stp  # STP 模式,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode rstp  # RSTP 模式,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mode mstp  # MSTP 模式,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree vlan 10 priority 0  # 优先级 0,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree vlan 10 root primary  # 主根桥,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1,show spanning-tree  # STP 信息,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1,show spanning-tree brief  # 简要信息,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config),spanning-tree mst configuration  # MST 配置,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config-mst),name REGION1  # 域名,,,,,,
网络/中兴交换机/STP/RSTP/MSTP 配置,SW1(config-mst),"instance 1 vlan 10,20  # 实例映射",,,,,,
网络/中兴交换机/链路聚合,SW1(config),smartgroup 1  # 创建智能组 1,,,,,,
网络/中兴交换机/链路聚合,SW1(config-smartgroup),exit,,,,,,
网络/中兴交换机/链路聚合,SW1(config-if),smartgroup 1  # 加入智能组 1,,,,,,
网络/中兴交换机/链路聚合,SW1(config-smartgroup),lacp  # LACP 模式,,,,,,
网络/中兴交换机/链路聚合,SW1,show smartgroup 1  # 智能组 1 信息,,,,,,
网络/中兴交换机/链路聚合,SW1,show lacp neighbor  # LACP 邻居,,,,,,
网络/中兴交换机/路由配置,SW1(config),ip route 0.0.0.0 0.0.0.0 192.168.1.1  # 默认路由,,,,,,
网络/中兴交换机/路由配置,SW1(config),ip route 10.0.0.0 255.0.0.0 192.168.1.2  # 静态路由,,,,,,
网络/中兴交换机/路由配置,SW1,show ip route  # 路由表,,,,,,
网络/中兴交换机/路由配置,SW1(config),router ospf 1  # OSPF 进程 1,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),router-id 1.1.1.1  # Router ID,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),network 192.168.1.0 0.0.0.255 area 0  # 宣告网段,,,,,,
网络/中兴交换机/路由配置,SW1(config),router rip  # RIP 进程,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),version 2  # RIPv2,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),network 192.168.1.0  # 宣告网段,,,,,,
网络/中兴交换机/路由配置,SW1(config),router bgp 65001  # BGP AS 65001,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),neighbor 192.168.1.2 remote-as 65002  # EBGP,,,,,,
网络/中兴交换机/路由配置,SW1(config-router),network 192.168.1.0 mask 255.255.255.0  # 宣告网络,,,,,,
网络/中兴交换机/ACL 访问控制列表,SW1(config),access-list 10 permit 192.168.1.0 0.0.0.255  # 允许网段,,,,,,
网络/中兴交换机/ACL 访问控制列表,SW1(config),access-list 10 deny any  # 拒绝所有,,,,,,
网络/中兴交换机/ACL 访问控制列表,SW1(config),access-list 100 permit tcp 192.168.1.0 0.0.0.255 any eq www  # HTTP,,,,,,
网络/中兴交换机/ACL 访问控制列表,SW1(config-if),ip access-group 100 in  # 入方向过滤,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1(config),access-list 1 permit 192.168.1.0 0.0.0.255,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1(config),ip nat inside source list 1 interface gei_1/1 overload,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1(config),ip nat inside source static 192.168.1.10 203.0.113.10  # 一对一,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1(config-if),ip nat outside  # 外网接口,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1(config-if),ip nat inside  # 内网接口,,,,,,
网络/中兴交换机/NAT 网络地址转换,SW1,show ip nat translations  # NAT 表,,,,,,
网络/中兴交换机/DHCP 配置,SW1(config),service dhcp  # 启用 DHCP,,,,,,
网络/中兴交换机/DHCP 配置,SW1(config),ip dhcp pool VLAN10  # 地址池,,,,,,
网络/中兴交换机/DHCP 配置,SW1(dhcp-config),network 192.168.10.0 255.255.255.0  # 网段,,,,,,
网络/中兴交换机/DHCP 配置,SW1(dhcp-config),default-router 192.168.10.1  # 网关,,,,,,
网络/中兴交换机/DHCP 配置,SW1(dhcp-config),dns-server 8.8.8.8  # DNS,,,,,,
网络/中兴交换机/DHCP 配置,SW1(config-if),ip helper-address 192.168.100.1  # DHCP 中继,,,,,,
网络/中兴交换机/DHCP 配置,SW1,show ip dhcp binding  # DHCP 绑定,,,,,,
网络/中兴交换机/VRRP 虚拟路由冗余,SW1(config-if),vrrp 1 ip 192.168.10.254  # 虚拟 IP,,,,,,
网络/中兴交换机/VRRP 虚拟路由冗余,SW1(config-if),vrrp 1 priority 120  # 优先级,,,,,,
网络/中兴交换机/VRRP 虚拟路由冗余,SW1(config-if),vrrp 1 preempt  # 抢占模式,,,,,,
网络/中兴交换机/VRRP 虚拟路由冗余,SW1,show vrrp  # VRRP 状态,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config),crypto key generate rsa  # 生成 RSA 密钥,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config),ip ssh version 2  # SSHv2,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config),line vty 0 4,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config-line),transport input ssh  # 只允许 SSH,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config),username admin password Admin@123  # 创建用户,,,,,,
网络/中兴交换机/SSH 远程管理,SW1(config),username admin privilege 15  # 权限级别,,,,,,
网络/中兴交换机/SNMP 配置,SW1(config),snmp-server community public ro  # 读团体,,,,,,
网络/中兴交换机/SNMP 配置,SW1(config),snmp-server community private rw  # 写团体,,,,,,
网络/中兴交换机/SNMP 配置,SW1(config),snmp-server host 192.168.1.100 version 2c public  # Trap 目标,,,,,,
网络/中兴交换机/LLDP 链路层发现,SW1(config),lldp run  # 全局启用 LLDP,,,,,,
网络/中兴交换机/LLDP 链路层发现,SW1(config-if),lldp transmit  # 发送,,,,,,
网络/中兴交换机/LLDP 链路层发现,SW1(config-if),lldp receive  # 接收,,,,,,
网络/中兴交换机/LLDP 链路层发现,SW1,show lldp neighbors  # LLDP 邻居,,,,,,
网络/中兴交换机/端口安全,SW1(config-if),switchport port-security  # 启用端口安全,,,,,,
网络/中兴交换机/端口安全,SW1(config-if),switchport port-security maximum 5  # 最大 MAC 数,,,,,,
网络/中兴交换机/端口安全,SW1(config-if),switchport port-security mac-address sticky  # 粘性学习,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config),class-map VOICE  # 流分类,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config-cmap),match ip dscp ef  # 匹配 EF,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config),policy-map MARKING  # 策略映射,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config-pmap),class VOICE,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config-pmap-c),set dscp ef  # 标记 DSCP,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config-pmap-c),police 800000 conform-action transmit exceed-action drop  # 限速,,,,,,
网络/中兴交换机/QoS 服务质量,SW1(config-if),service-policy output MARKING  # 应用策略,,,,,,
网络/中兴交换机/镜像配置,SW1(config),monitor session 1 source interface gei_1/1 both  # 源接口,,,,,,
网络/中兴交换机/镜像配置,SW1(config),monitor session 1 destination interface gei_1/24  # 目的接口,,,,,,
网络/中兴交换机/镜像配置,SW1(config),vlan 100,,,,,,
网络/中兴交换机/镜像配置,SW1(config-vlan),remote-span  # RSPAN VLAN,,,,,,
网络/中兴交换机/镜像配置,SW1(config),monitor session 1 destination remote vlan 100,,,,,,
网络/中兴交换机/PoE 供电配置,SW1(config-if),power inline auto  # 自动检测,,,,,,
网络/中兴交换机/PoE 供电配置,SW1(config-if),power inline never  # 禁用 PoE,,,,,,
网络/中兴交换机/PoE 供电配置,SW1,show power inline  # PoE 状态,,,,,,
网络/中兴交换机/堆叠配置,SW1(config),switch 1 renumber 2  # 重新编号,,,,,,
网络/中兴交换机/堆叠配置,SW1(config),switch 1 priority 15  # 优先级,,,,,,
网络/中兴交换机/堆叠配置,SW1,show switch  # 堆叠信息,,,,,,
网络/中兴交换机/IGMP Snooping,SW1(config),ip igmp snooping  # 全局启用,,,,,,
网络/中兴交换机/IGMP Snooping,SW1(config-vlan),ip igmp snooping vlan 10  # VLAN 启用,,,,,,
网络/中兴交换机/IGMP Snooping,SW1,show ip igmp snooping  # IGMP Snooping 信息,,,,,,
网络/中兴交换机/PIM-SM 组播,SW1(config),ip multicast-routing  # 组播路由,,,,,,
网络/中兴交换机/PIM-SM 组播,SW1(config-if),ip pim sparse-mode  # PIM-SM 模式,,,,,,
网络/中兴交换机/PIM-SM 组播,SW1(config),ip pim rp-address 192.168.1.1  # 静态 RP,,,,,,
网络/中兴交换机/MPLS 配置,SW1(config),mpls ip  # 启用 MPLS,,,,,,
网络/中兴交换机/MPLS 配置,SW1(config-if),mpls ip  # 接口 MPLS,,,,,,
网络/中兴交换机/MPLS 配置,SW1(config),mpls ldp  # 启用 LDP,,,,,,
网络/中兴交换机/MPLS 配置,SW1(config-if),mpls ldp autoconfig  # 自动配置 LDP,,,,,,
网络/中兴交换机/MPLS 配置,SW1,show mpls lsp  # LSP 信息,,,,,,
网络/中兴交换机/BFD 双向转发检测,SW1(config),bfd  # 启用 BFD,,,,,,
网络/中兴交换机/BFD 双向转发检测,SW1(config),bfd interval 100 min_rx 100 multiplier 3  # BFD 参数,,,,,,
网络/中兴交换机/BFD 双向转发检测,SW1(config-router),bfd all-interfaces  # 所有接口 BFD,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config),ipv6 unicast-routing  # 启用 IPv6 路由,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config-if),ipv6 address 2001:db8::1/64  # IPv6 地址,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config),ipv6 router ospf 1,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config-rtr),router-id 1.1.1.1,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config-if),ipv6 ospf 1 area 0  # 接口 OSPFv3,,,,,,
网络/中兴交换机/IPv6 配置,SW1(config),ipv6 route ::/0 2001:db8::1  # IPv6 默认路由,,,,,,
网络/中兴交换机/GRE 隧道,SW1(config),interface tunnel 1,,,,,,
网络/中兴交换机/GRE 隧道,SW1(config-if),ip address 10.0.0.1 255.255.255.252  # 隧道 IP,,,,,,
网络/中兴交换机/GRE 隧道,SW1(config-if),tunnel source 192.168.1.1  # 源地址,,,,,,
网络/中兴交换机/GRE 隧道,SW1(config-if),tunnel destination 192.168.2.1  # 目的地址,,,,,,
网络/中兴交换机/GRE 隧道,SW1(config-if),tunnel mode gre ip  # GRE 模式,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config),crypto isakmp policy 10,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config-isakmp),encryption aes 256  # AES-256,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config-isakmp),hash sha  # SHA 哈希,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config-isakmp),authentication pre-share  # 预共享密钥,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config),crypto ipsec transform-set ESP-AES256 esp-aes-256 esp-sha-hmac,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config),crypto map CRYPTO-MAP 10 ipsec-isakmp,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config-crypto-map),set peer 192.168.2.1  # 对等体,,,,,,
网络/中兴交换机/IPsec VPN,SW1(config-crypto-map),set transform-set ESP-AES256  # 转换集,,,,,,
网络/中兴交换机/NTP 网络时间协议,SW1(config),ntp server 192.168.1.1  # NTP 服务器,,,,,,
网络/中兴交换机/NTP 网络时间协议,SW1(config),ntp update-calendar  # 更新硬件时钟,,,,,,
网络/中兴交换机/NTP 网络时间协议,SW1(config),ntp master 3  # 作为 NTP 服务器,,,,,,
网络/中兴交换机/Syslog 日志,SW1(config),logging host 192.168.1.100  # Syslog 服务器,,,,,,
网络/中兴交换机/Syslog 日志,SW1(config),logging trap debugging  # 日志级别,,,,,,
网络/中兴交换机/RMON 远程监控,SW1(config),rmon alarm 1 ifInOctets.1 1000 absolute rising-threshold 5000 1 falling-threshold 1000 1 owner admin,,,,,,
网络/中兴交换机/RMON 远程监控,SW1(config),rmon event 1 log trap public description High Traffic" owner admin",,,,,,
网络/中兴交换机/NetFlow 流量分析,SW1(config),ip flow-export destination 192.168.1.100 9996  # 导出目的地,,,,,,
网络/中兴交换机/NetFlow 流量分析,SW1(config-if),ip flow ingress  # 入方向流,,,,,,
网络/中兴交换机/NetFlow 流量分析,SW1(config-if),ip flow egress  # 出方向流,,,,,,
网络/中兴交换机/NetFlow 流量分析,SW1,show ip cache flow  # 流缓存,,,,,,
网络/中兴交换机/CDP 思科发现协议,SW1(config),cdp run  # 全局启用 CDP,,,,,,
网络/中兴交换机/CDP 思科发现协议,SW1(config-if),cdp enable  # 接口启用,,,,,,
网络/中兴交换机/CDP 思科发现协议,SW1,show cdp neighbors  # CDP 邻居,,,,,,
网络/中兴交换机/UDLD 单向链路检测,SW1(config),udld enable  # 全局启用,,,,,,
网络/中兴交换机/UDLD 单向链路检测,SW1(config-if),udld port aggressive  # 激进模式,,,,,,
网络/中兴交换机/Loop Guard 环路保护,SW1(config),spanning-tree loopguard default  # 默认启用,,,,,,
网络/中兴交换机/BPDU Guard,SW1(config-if),spanning-tree bpduguard enable  # BPDU 保护,,,,,,
网络/中兴交换机/PortFast,SW1(config-if),spanning-tree portfast  # 启用 PortFast,,,,,,
网络/中兴交换机/HSRP 热备份路由协议,SW1(config-if),standby 1 ip 192.168.10.254  # 虚拟 IP,,,,,,
网络/中兴交换机/HSRP 热备份路由协议,SW1(config-if),standby 1 priority 120  # 优先级,,,,,,
网络/中兴交换机/HSRP 热备份路由协议,SW1(config-if),standby 1 preempt  # 抢占模式,,,,,,
网络/中兴交换机/HSRP 热备份路由协议,SW1,show standby  # HSRP 状态,,,,,,
网络/中兴交换机/EIGRP 增强型内部网关路由协议,SW1(config),router eigrp 100,,,,,,
网络/中兴交换机/EIGRP 增强型内部网关路由协议,SW1(config-router),network 192.168.1.0 0.0.0.255,,,,,,
网络/中兴交换机/EIGRP 增强型内部网关路由协议,SW1(config-router),no auto-summary  # 关闭自动汇总,,,,,,
网络/中兴交换机/IS-IS 中间系统到中间系统,SW1(config),router isis,,,,,,
网络/中兴交换机/IS-IS 中间系统到中间系统,SW1(config-router),net 49.0001.0000.0000.0001.00  # NET 地址,,,,,,
网络/中兴交换机/IS-IS 中间系统到中间系统,SW1(config-if),ip router isis  # 接口启用 IS-IS,,,,,,
网络/中兴交换机/Route Map 路由映射,SW1(config),route-map TEST permit 10,,,,,,
网络/中兴交换机/Route Map 路由映射,SW1(config-route-map),match ip address 1  # 匹配 ACL 1,,,,,,
网络/中兴交换机/Route Map 路由映射,SW1(config-route-map),set metric 100  # 设置度量值,,,,,,
